name,usage
kala,"Probiotics contain different types of micro-organisms such as yeast (saccharomyces boulardii) and bacteria (such as lactobacillus, bifidobacterium). Micro-organisms (flora) are naturally found in the stomach/intestines/vagina. Some conditions (such as antibiotic use, travel) can change the normal balance of bacteria/yeast. Probiotics are used to improve digestion and restore normal flora.Probiotics have been used to treat bowel problems (such as diarrhea, irritable bowel), eczema, vaginal yeast infections, lactose intolerance, and urinary tract infections.Probiotics are available in foods (such as yogurt, milk, juices, soy beverages) and as dietary supplements (capsules, tablets, powders). Different products have different uses. Check the label for information on uses for your particular product.Some diet supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details regarding the particular brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
l. acidophilus-l. rhamnosus capsule,"Follow all directions on the product package. Refer to the label directions for your specific product to see if the dose should be swallowed whole, chewed, sprinkled onto food or mixed with liquid. If you are using the liquid form of this medication, carefully measure the dose using a special measuring device/spoon. Do not use a household spoon because you may not get the correct dose. If you have any questions, ask your doctor or pharmacist."
kaitlib fe,"This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: norethindrone (a progestin) and ethinyl estradiol (an estrogen). There is a small amount of iron (ferrous fumarate) in each of the 4 inactive pills taken during the fourth week. The inactive pills do not contain any hormones. These pills are meant to keep you in the habit of taking 1 pill each day and do not have enough iron to treat iron deficiency.Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne.Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia)."
jarro-dophilus baby 3 billion cell-600 mg/gram oral powder antidiarrheal formulations with gut flora microorganisms,"Probiotics contain different types of micro-organisms such as yeast (saccharomyces boulardii) and bacteria (such as lactobacillus, bifidobacterium). Micro-organisms (flora) are naturally found in the stomach/intestines/vagina. Some conditions (such as antibiotic use, travel) can change the normal balance of bacteria/yeast. Probiotics are used to improve digestion and restore normal flora.Probiotics have been used to treat bowel problems (such as diarrhea, irritable bowel), eczema, vaginal yeast infections, lactose intolerance, and urinary tract infections.Probiotics are available in foods (such as yogurt, milk, juices, soy beverages) and as dietary supplements (capsules, tablets, powders). Different products have different uses. Check the label for information on uses for your particular product.Some diet supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details regarding the particular brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
jarro-dophilus allergen free 10 billion cell capsule antidiarrheal formulations with gut flora microorganisms,"Probiotics contain different types of micro-organisms such as yeast (saccharomyces boulardii) and bacteria (such as lactobacillus, bifidobacterium). Micro-organisms (flora) are naturally found in the stomach/intestines/vagina. Some conditions (such as antibiotic use, travel) can change the normal balance of bacteria/yeast. Probiotics are used to improve digestion and restore normal flora.Probiotics have been used to treat bowel problems (such as diarrhea, irritable bowel), eczema, vaginal yeast infections, lactose intolerance, and urinary tract infections.Probiotics are available in foods (such as yogurt, milk, juices, soy beverages) and as dietary supplements (capsules, tablets, powders). Different products have different uses. Check the label for information on uses for your particular product.Some diet supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details regarding the particular brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
jarro-dophilus 3.4 billion cell capsule antidiarrheal formulations with gut flora microorganisms,"Probiotics contain different types of micro-organisms such as yeast (saccharomyces boulardii) and bacteria (such as lactobacillus, bifidobacterium). Micro-organisms (flora) are naturally found in the stomach/intestines/vagina. Some conditions (such as antibiotic use, travel) can change the normal balance of bacteria/yeast. Probiotics are used to improve digestion and restore normal flora.Probiotics have been used to treat bowel problems (such as diarrhea, irritable bowel), eczema, vaginal yeast infections, lactose intolerance, and urinary tract infections.Probiotics are available in foods (such as yogurt, milk, juices, soy beverages) and as dietary supplements (capsules, tablets, powders). Different products have different uses. Check the label for information on uses for your particular product.Some diet supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details regarding the particular brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
"l.ac,cas,par,plan,sal-b.an,bi-l.la 7.5 billion cell oral powder packet","Probiotics contain different types of micro-organisms such as yeast (saccharomyces boulardii) and bacteria (such as lactobacillus, bifidobacterium). Micro-organisms (flora) are naturally found in the stomach/intestines/vagina. Some conditions (such as antibiotic use, travel) can change the normal balance of bacteria/yeast. Probiotics are used to improve digestion and restore normal flora.Probiotics have been used to treat bowel problems (such as diarrhea, irritable bowel), eczema, vaginal yeast infections, lactose intolerance, and urinary tract infections.Probiotics are available in foods (such as yogurt, milk, juices, soy beverages) and as dietary supplements (capsules, tablets, powders). Different products have different uses. Check the label for information on uses for your particular product.Some diet supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details regarding the particular brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
januvia (sitagliptin),"<span style=""background-color:transparent;color:#000000;"">Januvia (sitagliptin) is used with diet and exercise to help lower blood sugar levels in people with </span><span style=""background-color:transparent;color:#0563c1;""><u>type 2 diabetes</u></span><span style=""background-color:transparent;color:#000000;"">.</span>"
jarro-dophilus baby probiotic 3 billion cell-600 mg/gram oral powder antidiarrheal formulations with gut flora microorganisms,"Probiotics contain different types of micro-organisms such as yeast (saccharomyces boulardii) and bacteria (such as lactobacillus, bifidobacterium). Micro-organisms (flora) are naturally found in the stomach/intestines/vagina. Some conditions (such as antibiotic use, travel) can change the normal balance of bacteria/yeast. Probiotics are used to improve digestion and restore normal flora.Probiotics have been used to treat bowel problems (such as diarrhea, irritable bowel), eczema, vaginal yeast infections, lactose intolerance, and urinary tract infections.Probiotics are available in foods (such as yogurt, milk, juices, soy beverages) and as dietary supplements (capsules, tablets, powders). Different products have different uses. Check the label for information on uses for your particular product.Some diet supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details regarding the particular brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
jarro-dophilus digest sure 5 billion cell-188 mg tablet antidiarrheal formulations with gut flora microorganisms,"This product contains probiotics and digestive enzymes. Probiotics have different types of bacteria. Some conditions (such as antibiotic use, travel) can change the normal balance of bacteria (flora) found in the stomach and intestines. Probiotics are used to improve digestion and restore normal flora. Digestive enzymes (such as lipase, lactase) are natural substances needed by the body to help break down and digest food.Probiotics with digestive enzymes have been used to prevent bowel symptoms (such as gas, bloating, abdominal discomfort) and to treat lactose intolerance. Different products have different uses. Check the label for information on uses for your particular product.This product should not be used as replacement treatment for digestive enzymes (such as in cystic fibrosis, cancer of the pancreas).Some supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for details about the brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
"kadian 80 mg capsule,extended release","This medication is used to help relieve severe ongoing pain (such as due to cancer). Morphine belongs to a class of drugs known as opioid analgesics. It works in the brain to change how your body feels and responds to pain.The higher strengths of this drug (100 milligrams per capsule and higher) should be used only if you have been regularly taking moderate to large amounts of an opioid pain medication. These strengths may cause overdose (even death) if taken by a person who has not been regularly taking opioids.Do not use the sustained-action form of morphine to relieve pain that is mild or that will go away in a few days. This medication is not for occasional (""as needed"") use."
l. gasseri-b. bifidum-b longum capsule,"Follow all directions on the product package. Refer to the label directions for your specific product to see if the dose should be swallowed whole, chewed, sprinkled onto food or mixed with liquid. If you are using the liquid form of this medication, carefully measure the dose using a special measuring device/spoon. Do not use a household spoon because you may not get the correct dose. If you have any questions, ask your doctor or pharmacist."
kaletra solution,"This combination product contains two medications: lopinavir and ritonavir. This product is used with other HIV medications to help control HIV infection. It helps to decrease the amount of HIV in your body so your immune system can work better. This lowers your chance of getting HIV complications (such as new infections, cancer) and improves your quality of life. Both lopinavir and ritonavir belong to a class of drugs known as HIV protease inhibitors. Ritonavir increases (""boosts"") the levels of lopinavir. This helps lopinavir work better.Because this solution contains other ingredients (alcohol and propylene glycol) that may cause side effects, it is not recommended for premature (pre-term) newborns right after birth or full-term newborns younger than 14 days of age, unless your doctor thinks it is right for your baby. Discuss the risks and benefits with your doctor.Lopinavir/ritonavir is not a cure for HIV infection. To decrease your risk of spreading HIV disease to others, continue to take all HIV medications exactly as prescribed by your doctor. Use an effective barrier method (latex or polyurethane condoms/dental dams) during sexual activity as directed by your doctor. Do not share personal items (such as needles/syringes, toothbrushes, and razors) that may have contacted blood or other body fluids. Consult your doctor or pharmacist for more details."
l. acidophilus-dig enz cmb 5 capsule,"Follow all directions on the product package. If your doctor has prescribed this product, take it as directed. If you have any questions, ask your doctor or pharmacist."
kanjinti 420 mg intravenous solution antineoplast egf receptor blocker recomb monoclonal antibody,"Trastuzumab is used to treat certain types of breast, stomach, or esophagus cancer. This medication is used to treat tumors that produce more than the normal amount of a certain substance called HER2 protein. Trastuzumab belongs to a class of medications known as monoclonal antibodies. It works by slowing or stopping the growth of cancer cells.This monograph is about the following trastuzumab products: trastuzumab, trastuzumab-anns, trastuzumab-dkst, trastuzumab-dttb, trastuzumab-pkrb, trastuzumab-qyyp."
janumet xr,"Sitagliptin/metformin is used with a proper diet and exercise program to control high blood sugar in people with type 2 diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke.This product contains 2 medications: sitagliptin and metformin. Sitagliptin works by increasing levels of natural substances called incretins. Incretins help to control blood sugar by increasing insulin release, especially after a meal. They also decrease the amount of sugar your liver makes. Metformin works by helping to restore your body's proper response to the insulin you naturally produce. It also decreases the amount of sugar that your liver makes and that your stomach/intestines absorb."
janumet,"This combination medication is used with a proper diet and exercise program and possibly with other medications to control high blood sugar. It is used in patients with type 2 diabetes.This product contains 2 medications. Sitagliptin works by increasing levels of natural substances called incretins. Incretins help to control blood sugar by increasing insulin release, especially after a meal. They also decrease the amount of sugar your liver makes. Metformin works by helping to restore your body's proper response to the insulin you naturally produce. It also decreases the amount of sugar that your liver makes and that your stomach/intestines absorb.Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke."
mapo oil,"This medication is used as a moisturizer to treat or prevent dry, rough, scaly, itchy skin and minor skin irritations (such as diaper rash, skin burns from radiation therapy). Emollients are substances that soften and moisturize the skin and decrease itching and flaking. Some products (such as zinc oxide, white petrolatum) are used mostly to protect the skin against irritation (such as from wetness).Dry skin is caused by a loss of water in the upper layer of the skin. Emollients/moisturizers work by forming an oily layer on the top of the skin that traps water in the skin. Petrolatum, lanolin, mineral oil and dimethicone are common emollients. Humectants, including glycerin, lecithin, and propylene glycol, draw water into the outer layer of skin. Many products also have ingredients that soften the horny substance (keratin) that holds the top layer of skin cells together (including urea, alpha hydroxy acids such as lactic/citric/glycolic acid, and allantoin). This helps the dead skin cells fall off, helps the skin keep in more water, and leaves the skin feeling smoother and softer."
maraviroc 300 mg tablet antiviral-hiv (antiretroviral) ccr5 co-receptor antagonist,"Maraviroc is used with other HIV medications to help control HIV infection. It helps to decrease the amount of HIV in your body so your immune system can work better. This lowers your chance of getting HIV complications (such as new infections, cancer) and improves your quality of life. Maraviroc belongs to a class of drugs known as entry inhibitors. It works by blocking the HIV virus from infecting healthy immune cells (T-cells).Maraviroc is not a cure for HIV infection. To decrease your risk of spreading HIV disease to others, continue to take all HIV medications exactly as prescribed by your doctor. Use an effective barrier method (latex or polyurethane condoms/dental dams) during sexual activity as directed by your doctor. Do not share personal items (such as needles/syringes, toothbrushes, and razors) that may have contacted blood or other body fluids. Consult your doctor or pharmacist for more details."
mapap sinus maximum strength (pe) 5 mg-325 mg tablet,"This combination medication is used to temporarily treat symptoms caused by the common cold, flu, allergies, or other breathing illnesses (such as sinusitis, bronchitis). Decongestants help relieve stuffy nose, sinus, and ear congestion symptoms. Acetaminophen (APAP) is a non-aspirin pain reliever and fever reducer.Cough-and-cold products have not been shown to be safe or effective in children younger than 6 years. Do not use this product to treat cold symptoms in children younger than 6 years unless specifically directed by the doctor. Some products (such as long-acting tablets/capsules) are not recommended for use in children younger than 12 years. Ask your doctor or pharmacist for more details about using your product safely.These products do not cure or shorten the length of the common cold and may cause serious side effects. To decrease the risk for serious side effects, carefully follow all dosage directions. Do not use this product to make a child sleepy. Do not give other cough-and-cold medication that might contain the same or similar ingredients (see also Drug Interactions section). Ask the doctor or pharmacist about other ways to relieve cough and cold symptoms (such as drinking enough fluids, using a humidifier or saline nose drops/spray)."
l. reuteri-b. infantis-fos 2 billion cell effervescent tablet,"Probiotics contain different types of micro-organisms such as yeast (saccharomyces boulardii) and bacteria (such as lactobacillus, bifidobacterium). Micro-organisms (flora) are naturally found in the stomach/intestines/vagina. Some conditions (such as antibiotic use, travel) can change the normal balance of bacteria/yeast. Probiotics are used to improve digestion and restore normal flora.Probiotics have been used to treat bowel problems (such as diarrhea, irritable bowel), eczema, vaginal yeast infections, lactose intolerance, and urinary tract infections.Probiotics are available in foods (such as yogurt, milk, juices, soy beverages) and as dietary supplements (capsules, tablets, powders). Different products have different uses. Check the label for information on uses for your particular product.Some diet supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details regarding the particular brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
"jarro-dophilus eps 5 billion cell capsule,delayed release antidiarrheal formulations with gut flora microorganisms","Probiotics contain different types of micro-organisms such as yeast (saccharomyces boulardii) and bacteria (such as lactobacillus, bifidobacterium). Micro-organisms (flora) are naturally found in the stomach/intestines/vagina. Some conditions (such as antibiotic use, travel) can change the normal balance of bacteria/yeast. Probiotics are used to improve digestion and restore normal flora.Probiotics have been used to treat bowel problems (such as diarrhea, irritable bowel), eczema, vaginal yeast infections, lactose intolerance, and urinary tract infections.Probiotics are available in foods (such as yogurt, milk, juices, soy beverages) and as dietary supplements (capsules, tablets, powders). Different products have different uses. Check the label for information on uses for your particular product.Some diet supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details regarding the particular brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
nasacort allergy 55 mcg nasal spray aerosol steroids,"Triamcinolone is used to prevent and treat seasonal and year-round allergy symptoms (such as stuffy/runny nose, itchy eyes/nose/throat, sneezing). Triamcinolone belongs to a class of drugs known as corticosteroids. It works by reducing swelling (inflammation) in the nasal passages.Check the ingredients on the label even if you have used the product before. The manufacturer may have changed the ingredients. Also, products with similar names may contain different ingredients meant for different purposes. Taking the wrong product could harm you."
"mapap suspension, (final dose form)","Take this product by mouth as directed. Follow all directions on the product package. If you have any questions, ask your doctor or pharmacist."
naropin (ropivacaine),<span>Ropivacaine is commonly used to relieve pain during or after surgery. It is used as either a </span><span>local anesthetic</span><span> or a </span><span>nerve block</span><span> to numb part of your body. It is also used in </span><span>epidurals</span><span> for pain relief during </span><span>labor</span><span> or a </span><span>cesarean section (C-section)</span><span>.</span>
narcan 4mg nasal spray,"Naloxone is used for the emergency treatment of known or suspected opioid overdose. Serious opioid overdose symptoms may include unusual sleepiness, unusual difficulty waking up, or breathing problems (ranging from slow/shallow breathing to no breathing). Other symptoms of overdose may include very small ""pinpoint"" pupils, slow heartbeat, or low blood pressure. If someone has serious overdose symptoms but you are not sure if the symptoms are due to opioid overdose, give naloxone right away anyway, since lasting slow/shallow breathing may cause permanent damage to the brain or death. Since symptoms of opioid overdose may return after treatment, be sure to get medical help right away after giving the first dose of naloxone.This medication belongs to a class of drugs known as opioid antagonists. It works by blocking the effects of the opioid in the brain."
naratriptan hcl,"This medication is used to treat migraines. It helps to relieve headaches, pain and other symptoms of migraines, including sensitivity to light/sound, nausea, and vomiting. Prompt treatment allows you to get back to your normal routine and may decrease your need for other pain medications. Naratriptan does not prevent future migraines or reduce how often you may get a headache.Naratriptan belongs to a group of drugs called triptans. It affects a certain natural chemical (serotonin) that constricts blood vessels in the brain. It may also block other pain pathways in the brain."
nardil,This medication is used to treat depression. Phenelzine belongs to a class of drugs known as monoamine oxidase inhibitors (MAO inhibitors). It works by helping to restore the balance of certain natural substances in the brain.
mapap pm 25 mg-500 mg tablet,"This combination product contains 2 medications, acetaminophen and an antihistamine. Acetaminophen helps to reduce fever and/or mild to moderate pain (such as headache, backache, aches/pains due to muscle strain, cold, or flu). The antihistamine in this product may cause drowsiness, so it can also be used as a nighttime sleep aid. Antihistamines can also be used to help relieve allergy or cold symptoms such as watery eyes, itchy eyes/nose/throat, runny nose, and sneezing.Cough-and-cold products have not been shown to be safe or effective in children younger than 6 years. Do not use this product to treat cold symptoms in children younger than 6 years unless specifically directed by the doctor. Some products (such as long-acting tablets/capsules) are not recommended for use in children younger than 12 years. Ask your doctor or pharmacist for more details about using your product safely.These products do not cure or shorten the length of the common cold and may cause serious side effects. To decrease the risk for serious side effects, carefully follow all dosage directions. Do not use this product to make a child sleepy. Do not give other cough-and-cold medication that might contain the same or similar ingredients (see also Drug Interactions section). Ask the doctor or pharmacist about other ways to relieve cough and cold symptoms (such as drinking enough fluids, using a humidifier or saline nose drops/spray)."
naramin,"Diphenhydramine is an antihistamine used to relieve symptoms of allergy, hay fever, and the common cold. These symptoms include rash, itching, watery eyes, itchy eyes/nose/throat, cough, runny nose, and sneezing. It is also used to prevent and treat nausea, vomiting and dizziness caused by motion sickness. Diphenhydramine can also be used to help you relax and fall asleep.This medication works by blocking a certain natural substance (histamine) that your body makes during an allergic reaction. Its drying effects on such symptoms as watery eyes and runny nose are caused by blocking another natural substance made by your body (acetylcholine).Cough-and-cold products have not been shown to be safe or effective in children younger than 6 years. Do not use this product to treat cold symptoms in children younger than 6 years unless specifically directed by the doctor. Some products (such as long-acting tablets/capsules) are not recommended for use in children younger than 12 years. Ask your doctor or pharmacist for more details about using your product safely.These products do not cure or shorten the length of the common cold and may cause serious side effects. To decrease the risk for serious side effects, carefully follow all dosage directions. Do not use this product to make a child sleepy. Do not give other cough-and-cold medication that might contain the same or similar ingredients (see also Drug Interactions section). Ask the doctor or pharmacist about other ways to relieve cough and cold symptoms (such as drinking enough fluids, using a humidifier or saline nose drops/spray)."
l. acidophilus 35 million cell-b. coagulans 25 cell tablet antidiarrheal formulations with gut flora microorganisms,"Probiotics contain different types of micro-organisms such as yeast (saccharomyces boulardii) and bacteria (such as lactobacillus, bifidobacterium). Micro-organisms (flora) are naturally found in the stomach/intestines/vagina. Some conditions (such as antibiotic use, travel) can change the normal balance of bacteria/yeast. Probiotics are used to improve digestion and restore normal flora.Probiotics have been used to treat bowel problems (such as diarrhea, irritable bowel), eczema, vaginal yeast infections, lactose intolerance, and urinary tract infections.Probiotics are available in foods (such as yogurt, milk, juices, soy beverages) and as dietary supplements (capsules, tablets, powders). Different products have different uses. Check the label for information on uses for your particular product.Some diet supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details regarding the particular brand you use.The FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
mapap extra strength 500 mg tablet,"This drug is used to treat mild to moderate pain (from headaches, menstrual periods, toothaches, backaches, osteoarthritis, or cold/flu aches and pains) and to reduce fever."
mar-cof bp,"This combination product is used to treat symptoms caused by the common cold, flu, allergies, hay fever, or other breathing illnesses (such as sinusitis, bronchitis). Decongestants help relieve stuffy nose symptoms. This product also contains an opioid cough suppressant (antitussive) that affects a certain part of the brain, reducing the urge to cough. Antihistamines relieve watery eyes, itchy eyes/nose/throat, runny nose, and sneezing.Opioid cough suppressants should not be used by children younger than 18 years. Children are at higher risk for serious (even fatal) side effects, especially breathing problems. Talk with the doctor about the risks and benefits of this medication.Cough-and-cold products do not cure colds. Cough due to a common cold often does not need to be treated with medicine. Ask your doctor or pharmacist about other ways to relieve cough and cold symptoms, such as drinking enough fluids, using a humidifier, or saline nose drops/spray."
l. acidoph-l. plantar-l. rhamn capsule,"Follow all directions on the product package. Refer to the label directions for your specific product to see if the dose should be swallowed whole, chewed, sprinkled onto food or mixed with liquid. If you are using the liquid form of this medication, carefully measure the dose using a special measuring device/spoon. Do not use a household spoon because you may not get the correct dose. If you have any questions, ask your doctor or pharmacist."
l-tryptophan,"In Canada, tryptophan is sold as a prescription drug to treat mood disorders (such as bipolar disorder, depression). It is usually used with other medicines. It works to make the mood more stable and reduce extremes in behavior by restoring the balance of certain natural substances (serotonin, melatonin) in the brain. Tryptophan is a natural substance (amino acid) found in high-protein foods and milk.In the US, tryptophan is sold as a dietary supplement. It has been used to support mood, relaxation, and restful sleep. If you are taking other medications that may affect serotonin (such as many antidepressants), do not take tryptophan without talking with your doctor first. A very serious (possibly fatal) drug interaction may occur. Your doctor should closely monitor you. See also Side Effects section.Some supplement products have been found to contain possibly harmful impurities/additives. Check with your pharmacist for more details about the brand you use.The US FDA has not reviewed this product for safety or effectiveness. Consult your doctor or pharmacist for more details."
k-phos original,"This medication helps control the amount of calcium in the body and urine. It works by making the urine more acidic.It is used to prevent calcium kidney stones. It is also used to decrease the amount of ammonia in urine, thereby reducing odor and skin irritation caused by high-ammonia urine. This medication is also given to help certain antibiotics for bladder infections (such as methenamine) work better."
k-phos neutral,This drug may be used in people who cannot get enough phosphorus from their diets. Phosphorus is a natural body mineral that is very important for building and maintaining bone. It helps control the amount of calcium in the body and urine.
jakafi,"This medication is used to treat certain bone marrow disorders (myelofibrosis, polycythemia vera). It works by blocking your body from producing substances called growth factors. Growth factors cause cells to grow and divide, and cause the blood cell and spleen problems found in these disorders. Ruxolitinib belongs to a class of drugs known as kinase inhibitors. Though not a cure for these disorders, ruxolitinib may help with some of the symptoms, including abdominal discomfort, pain under left ribs, early feelings of fullness from meals, night sweats, itching, and bone/muscle pain.Ruxolitinib is also used to treat a certain problem that may occur after certain stem cell or bone marrow transplants (graft versus host disease). It works by weakening your body's defense system (immune system)."
jantoven,"This medication is used to treat blood clots (such as in deep vein thrombosis-DVT or pulmonary embolus-PE) and/or to prevent new clots from forming in your body. Preventing harmful blood clots helps to reduce the risk of a stroke or heart attack. Conditions that increase your risk of developing blood clots include a certain type of irregular heart rhythm (atrial fibrillation), heart valve replacement, recent heart attack, and certain surgeries (such as hip/knee replacement).Warfarin is commonly called a ""blood thinner,"" but the more correct term is ""anticoagulant."" It helps to keep blood flowing smoothly in your body by decreasing the amount of certain substances (clotting proteins) in your blood."
janssen covid-19 vaccine (pf) 0.5 ml intramuscular suspension (eua) (sars-cov-2) vaccines,"The Janssen COVID-19 vaccine (also called Johnson and Johnson COVID-19 vaccine) is used to protect you against coronavirus disease, also known as COVID-19. Health Canada has approved this vaccine for use in people 18 years and older.Vaccines may not fully protect everyone who receives them. However, studies show that the Janssen COVID-19 vaccine helps protect most people who receive it against COVID-19. The vaccine may help you fight the virus if you are exposed to it later. The vaccine may prevent the illness, or reduce the seriousness of it."
"jaimiess 0.15 mg-30 mcg (84)/10 mcg(7) tablets,3 month dose pack contraceptives","This combination hormone medication is used to prevent pregnancy. It contains 2 hormones: a progestin (levonorgestrel) and an estrogen (ethinyl estradiol).Besides preventing pregnancy, birth control pills may make your periods more regular, decrease blood loss and painful periods, decrease your risk of ovarian cysts, and also treat acne.Using this medication does not protect you or your partner against sexually transmitted diseases (such as HIV, gonorrhea, chlamydia)."
mapap arthritis pain,"This drug is used to treat mild to moderate pain (from headaches, menstrual periods, toothaches, backaches, osteoarthritis, or cold/flu aches and pains) and to reduce fever."
malathion lotion,"This medication is used to treat head lice, tiny insects that infest and irritate your scalp. Malathion belongs to a class of drugs known as organophosphates. It works by paralyzing and killing lice and their eggs (nits).This drug is not recommended for use in newborns or infants younger than 1 year."
l-carnitine powder,Consult your pharmacist.
magox 400,"This medication is a mineral supplement used to prevent and treat low amounts of magnesium in the blood. Some brands are also used to treat symptoms of too much stomach acid such as stomach upset, heartburn, and acid indigestion. Magnesium is very important for the normal functioning of cells, nerves, muscles, bones, and the heart. Usually, a well-balanced diet provides normal blood levels of magnesium. However, certain situations cause your body to lose magnesium faster than you can replace it from your diet. These situations include treatment with ""water pills"" (diuretics such as furosemide, hydrochlorothiazide), a poor diet, alcoholism, or other medical conditions (such as severe diarrhea/vomiting, stomach/intestinal absorption problems, poorly controlled diabetes)."
jadenu sprinkle,"This medication is used to treat ongoing high levels of iron in the body caused by multiple blood transfusions. It is also used to treat high levels of iron in people with a certain blood disorder who do not require blood transfusions (non-transfusion-dependent thalassemia). It works by binding to iron, allowing the body to pass extra iron out in the stool. Deferasirox belongs to a class of drugs known as iron-chelating agents.Frequent blood transfusions are often needed in certain types of blood diseases (such as sickle cell disease, anemia). Blood transfusions have very helpful benefits, but they can cause the body to hold on to too much iron. The extra iron can build up in the body and cause problems such as heart failure, liver disease, and diabetes. Getting rid of extra iron can decrease the risk of these diseases."
mannitol 40 mg inhalation powder in a capsule,This medication is used to treat cystic fibrosis. Mannitol may help to improve breathing.
naproxen-diphenhydramine tablet,"This product is a combination of 2 drugs: naproxen and diphenhydramine. It is used by adults who have trouble sleeping (insomnia) due to minor aches and pain.Naproxen belongs to a group of drugs known as nonsteroidal anti-inflammatory drugs (NSAIDs). It is used to relieve minor aches and pain from various conditions such as headache, muscle aches, dental pain, menstrual cramps, or arthritis. It works by blocking your body's production of certain natural substances that cause inflammation. This effect helps to decrease swelling, pain, or fever. Diphenhydramine is an antihistamine used in this combination product to help you relax and fall asleep.If you are also treating a chronic condition such as arthritis, ask your doctor about non-drug treatments and/or using other medications to treat your pain. See also Warning section."
malarone tablet,"This medication contains 2 medicines: atovaquone and proguanil. It is used to prevent and treat malaria caused by mosquito bites in countries where malaria is common. Malaria parasites can enter the body through these mosquito bites, and then live in body tissues such as red blood cells or the liver. This medication is used to kill the malaria parasites living inside red blood cells and other tissues. In some cases, you may need to take a different medication (such as primaquine) to complete your treatment. Both medications may be needed for a complete cure and to prevent the return of infection (relapse). Atovaquone/proguanil belongs to a class of drugs known as antimalarials.The United States Centers for Disease Control provide updated guidelines and travel recommendations for the prevention and treatment of malaria in different parts of the world. Discuss the most recent information with your doctor before traveling to areas where malaria occurs."
naproxen 500 mg oral tablet-capsicum oleoresin 0.025 % cream kit,"See also Warning section.Naproxen is used to relieve pain from various conditions such as headache, muscle aches, tendonitis, dental pain, and menstrual cramps. It also reduces pain, swelling, and joint stiffness caused by arthritis, bursitis, and gout attacks. This medication is known as a nonsteroidal anti-inflammatory drug (NSAID). It works by blocking your body's production of certain natural substances that cause inflammation.If you are treating a chronic condition such as arthritis, ask your doctor about non-drug treatments and/or using other medications to treat your pain.Check the ingredients on the label even if you have used the product before. The manufacturer may have changed the ingredients. Also, products with similar names may contain different ingredients meant for different purposes. Taking the wrong product could harm you."
naproxen,"<span style=""background-color:transparent;"">Naproxen is commonly used to reduce fever and to treat pain and inflammation caused by several conditions, including arthritis, gout, ankylosing spondylitis, tendinitis, bursitis, menstrual cramps, headache, muscle pain, back pain, and tooth pain. </span>"
major-prep hemorrhoidal 0.25 %-14 %-74.9 % ointment,"Follow all directions on the product package. If you have any questions, ask your doctor or pharmacist."
k-phos no.2,This drug may be used in people who cannot get enough phosphorus from their diets. Phosphorus is a natural body mineral that is very important for building and maintaining bone. It helps control the amount of calcium in the body and urine.
kadcyla vial,"Trastuzumab emtansine is used to treat certain types of breast cancer. This medication is used to treat tumors that produce more than the normal amount of a certain substance called HER2 protein.This medication is called a monoclonal antibody and microtubule inhibitor conjugate. Trastuzumab emtansine works by attaching to the HER2 cancer cells and blocking them from dividing and growing. It may also destroy the cancer cells or signal the body (immune system) to destroy the cancer cells.This monograph is about the following trastuzumab emtansine products: trastuzumab emtansine, ado-trastuzumab emtansine."
